FacilityName,Contractor (y/n),Address,City,State,ZipCode,BusinessHourRate,AfterHoursRate,HolidayRate,TriLingualRateUplift,EmergencyFee,Phone,Contact Name,Contact Email,Notes,Department Charge#,Product #,Director
VNA of SI,,,Staten Island,NY,,$85.00,$95.00,,,,,,,,,,
Wall Social Services,,230 East Ridgewood Ave,Paramus,NJ,7652,$85.00,$95.00,,,,,,,,,,
Wee Care Pediatrics,,831 Tennent Road,Manalapan,NJ,7726,$95.00,$110.00,$175.00,,,732-536-6222,Lori DiAngelis,droffice@optonline.net,,,,
Woodbridge Township,,,Woodbridge,NJ,,$95.00,$110.00,,,,732-596-5146,Carol Brink,Carol.Brink@Woodbridge.K12.NJ.US,,,,
ENT & Allergy- 5th Ave,,261 5th Ave - Room 901,New York,NY,10016,95,110,,,,212-683-4624,Ingrid Rodriguez,Iar01@qmmsusa.com,,,,
Northwell- Surgical Oncology - Dr Azab,,256 C Mason Ave,Staten Island,NY,10305,90,115,190,,,718-226-4940,Stephanie,,,,,
Lenox Hill- Levittown,,3235 Hempstead tpke,Levittown,NY,11756,95,115,190,,,631-332-3062,Joseph Ortiz,joseph.ortiz@radnet.com,office- 516-464-5242,,,
Carteret School District,,,,,,105,120,,,,,,,,,,
Jewish Board- Rego Park,,97-77 Queens Blvd,Rego Park,NY,11374,75,,,,,718-896-9090 ext 522501,Olenny Cabrera,ocabrera@jbfcs.org,347-613-8484,,,
Lenox Hill- Bayshore,,375 East Main St Suite 28,Bayshore,NY,11706,95,115,190,,,631-665-2261,Debbie/ Debra Rayola,debra.rayola@radnet.com,Medical Arts bld,,,
Dr. Langan,,360 Edison St,Staten Island,NY,10306,95,115,190,,,718-987-4482,Diana,gidoctors360@gmail.com,,,,
Dr Giovinazzo,,1498 Clove Rd,Staten Island,NY,10301,85,110,,,,718- 494-2690,Rose,giovinazzoobgyn@gmail.com,,,,
Northwell- GYN- Targee- Dr. LaPorta,,1145 Targee St,Staten Isalnd,NY,,90,115,190,,,718-981-5900,Denise Ianniello,Dianniello@northwell.edu,,Department Charge # 30001322,Product #60187,Emily Parziale- Eparziale@Northwell.edu
NYC Department of Veterans' Services,,1 Centre Street Suite 2208,New York,NY,10007,110,125,,,,646-891-9398,Ellen Gruley,,,,,
Dr. Cary Goldsman,,2035 Ralph Ave Suite B9,Brooklyn,NY,11234,90,,,,,917-971-9578,Susan,year2448@yahoo.com,,,,
Pronto Translastion,,445 West 23rd St 10 B,New York,NY,10011,125,,,,,917-494-4481,,clientservices@prontotranslations.com,,,,
ENT & Allergy- Wayne NJ,,1211 Hamburg Turnpike Suite 205,Wayne,NJ,7470,95,110,,,,973-6330808,Cathy Anderman,canderman@entandallergy.com,,,,
Brooklyn Surgery Center- under Eye med,,1301 Ave J,Brooklyn,NY,,95,115,,,,917-273-3891,Hava,KLMEYE@aol.com,under eye med,,,
Northwell- Dr Noah Zuker - Surgeon,,101 Tryrellan,Staten Isalnd,NY,90,115,190,,,,718-226-5051,Terry Fisher,,,30001475,60252,"Lisa Torres, LTorres5@northwell.edu"
Glenbrook High School,,3801 W Lake Ave,Glenviwe,IL,60026,95,,,,,847-486-4708,Skip Kumm,skumm@glenbrook225.org,,,,
Northwell- Dr Bjorklund- NHPP Staten Island Heart,,501 Seaview Ave Suite 300,Staten Isand,NY,10305,90,115,190,,,718-226-3202,,jocasio1@northwell.edu,,30001532,61129,Barbara Civiletti
Northwell- Andrawes,,4106 Hylan Blvd,Staten Island,NY,10308,90,115,190,,,718-226-7855,Rosanna,,,30001404,60408,Kathy
Lionbridge,,,,,,110,115,,,,,Marissia Robles,marissia.robles@lionbridge.com,,,,
Nuanced Interpretation LLC,,,,,,130,140,,,,646-593-1632,Fernando Avila,scheduling@nuancedinterpretation.com,,,,
Lenox Hill- East Islip,,369 East. Main St,East Islip,NY,11730,95,115,190,,,516-459-6205,Kelly,,,,,
Dr. Rouder- Podiatry,,1855 Richmond Ave,Staten Island,NY,10312,90,,,,,718-909-6500,Dr Rouder,rouder@sipodiatry.net,staff@sipodiatry.com,agreed to one hour for remote only,,
ENT & Allergy- Oldbridge,,3663 RT 9,Oldbridge,NJ,8857,95,110,,,,732-838-1610,,,,,,
AV Dental,,642 Newark Ave,Jersey City,NJ,7306,105,110,,,,201-484-7759,Cristal,avddsmessages642@gmail.com,,,,
Ent & Allergy- Riverhead,,400 Old Country Road Suite 16,Riverhead,NY,11901,95,110,,,,917-829-5666,Cathy Anderman,canderman@entandallergy.com,,,,
Glenbrook High School - North,,,,,,,,,,,,,,,,,
GSA- USCIS- Florida,,,,,,,,,,,,,,,,,
Language Link,,,,CT,,,,,,,,,,,,,
CCI- Multilingual,,,,,,,,,,,727-657-3167,Eugenia,requests@myccigroup.com,,,,
